scientific_name,sra_accession,mag_file,tax_id,mag_name
uncultured Herbaspirillum sp.,ERS6627023,uncultured_Herbaspirillum_sp._ERS6627023.fasta,160236,uncultured_Herbaspirillum_sp._ERS6627023
uncultured Bacillus sp.,ERS6626947,uncultured_Bacillus_sp._ERS6626947.fasta,83428,uncultured_Bacillus_sp._ERS6626947
uncultured Sphingomonas sp.,ERS6626936,uncultured_Sphingomonas_sp._ERS6626936.fasta,158754,uncultured_Sphingomonas_sp._ERS6626936
uncultured Pseudomonas sp.,ERS6627007,uncultured_Pseudomonas_sp._ERS6627007.fasta,114707,uncultured_Pseudomonas_sp._ERS6627007
uncultured Achromobacter sp.,ERS6626913,uncultured_Achromobacter_sp._ERS6626913.fasta,182690,uncultured_Achromobacter_sp._ERS6626913
uncultured Agrobacterium sp.,ERS6627262,uncultured_Agrobacterium_sp._ERS6627262.fasta,157277,uncultured_Agrobacterium_sp._ERS6627262
uncultured Pseudorhodoferax sp.,ERS6626941,uncultured_Pseudorhodoferax_sp._ERS6626941.fasta,911637,uncultured_Pseudorhodoferax_sp._ERS6626941
uncultured Herbaspirillum sp.,ERS6627324,uncultured_Herbaspirillum_sp._ERS6627324.fasta,160236,uncultured_Herbaspirillum_sp._ERS6627324
uncultured Stenotrophomonas sp.,ERS6627308,uncultured_Stenotrophomonas_sp._ERS6627308.fasta,165438,uncultured_Stenotrophomonas_sp._ERS6627308
uncultured Xanthomonas sp.,ERS6627339,uncultured_Xanthomonas_sp._ERS6627339.fasta,152831,uncultured_Xanthomonas_sp._ERS6627339
uncultured Acinetobacter sp.,ERS6626821,uncultured_Acinetobacter_sp._ERS6626821.fasta,165433,uncultured_Acinetobacter_sp._ERS6626821
uncultured Mucilaginibacter sp.,ERS6627275,uncultured_Mucilaginibacter_sp._ERS6627275.fasta,797541,uncultured_Mucilaginibacter_sp._ERS6627275
uncultured Sphingomonas sp.,ERS6626866,uncultured_Sphingomonas_sp._ERS6626866.fasta,158754,uncultured_Sphingomonas_sp._ERS6626866
