IRRI seed bank ID,SRA accession,Group,New SRA
IRGC 121732,ERS6595749,japonica,ERR6050566
IRGC 121732,ERS6595528,japonica,ERR6050346
IRGC 121734,ERS6595626,japonica,ERR6050443
IRGC 121734,ERS6595515,japonica,ERR6050333
IRGC 121734,ERS6595736,japonica,ERR6050553
IRGC 121735,ERS6595635,japonica,ERR6050452
IRGC 121735,ERS6595524,japonica,ERR6050342
IRGC 121735,ERS6595745,japonica,ERR6050562
IRGC 121746,ERS6595557,japonica,ERR6050375
IRGC 121746,ERS6595778,japonica,ERR6050595
IRGC 121746,ERS6595668,japonica,ERR6050485
IRGC 121748,ERS6595759,indica,ERR6050576
IRGC 121748,ERS6595538,indica,ERR6050356
IRGC 121748,ERS6595649,indica,ERR6050466
IRGC 121753,ERS6595571,indica,ERR6050389
IRGC 121753,ERS6595682,indica,ERR6050499
IRGC 121753,ERS6595792,indica,ERR6050609
IRGC 121755,ERS6595644,japonica,ERR6050461
IRGC 121755,ERS6595754,japonica,ERR6050571
IRGC 121755,ERS6595533,japonica,ERR6050351
IRGC 121759,ERS6595802,indica,ERR6050619
IRGC 121759,ERS6595692,indica,ERR6050509
IRGC 121759,ERS6595581,indica,ERR6050399
IRGC 121760,ERS6595620,indica,ERR6050437
IRGC 121760,ERS6595509,indica,ERR6050327
IRGC 121760,ERS6595730,indica,ERR6050547
IRGC 121761,ERS6595772,japonica,ERR6050589
IRGC 121761,ERS6595662,japonica,ERR6050479
IRGC 121761,ERS6595551,japonica,ERR6050369
IRGC 121771,ERS6595748,indica,ERR6050565
IRGC 121771,ERS6595527,indica,ERR6050345
IRGC 121771,ERS6595638,indica,ERR6050455
IRGC 121781,ERS6595629,japonica,ERR6050446
IRGC 121781,ERS6595518,japonica,ERR6050336
IRGC 121781,ERS6595739,japonica,ERR6050556
IRGC 121782,ERS6595746,japonica,ERR6050563
IRGC 121782,ERS6595636,japonica,ERR6050453
IRGC 121782,ERS6595525,japonica,ERR6050343
IRGC 121785,ERS6595700,indica,ERR6050517
IRGC 121785,ERS6595810,indica,ERR6050627
IRGC 121785,ERS6595590,indica,ERR6050407
IRGC 121794,ERS6595777,japonica,ERR6050594
IRGC 121794,ERS6595556,japonica,ERR6050374
IRGC 121794,ERS6595667,japonica,ERR6050484
IRGC 121805,ERS6595812,japonica,ERR6050629
IRGC 121805,ERS6595702,japonica,ERR6050519
IRGC 121805,ERS6595592,japonica,ERR6050409
IRGC 121809,ERS6595713,japonica,ERR6050530
IRGC 121809,ERS6595823,japonica,ERR6050640
IRGC 121809,ERS6595603,japonica,ERR6050420
IRGC 121826,ERS6595530,indica,ERR6050348
IRGC 121826,ERS6595751,indica,ERR6050568
IRGC 121826,ERS6595641,indica,ERR6050458
IRGC 121827,ERS6595539,indica,ERR6050357
IRGC 121827,ERS6595650,indica,ERR6050467
IRGC 121827,ERS6595760,indica,ERR6050577
IRGC 121832,ERS6595516,indica,ERR6050334
IRGC 121832,ERS6595737,indica,ERR6050554
IRGC 121832,ERS6595627,indica,ERR6050444
IRGC 121838,ERS6595575,japonica,ERR6050393
IRGC 121838,ERS6595686,japonica,ERR6050503
